ihr360-authorization-center-provider|192.168.1.179:40520/ac/actuator/health
ihr360-gray-executor|192.168.1.179:40563/actuator/health
ihr360-group-aggregate-provider|192.168.1.179:43701/actuator/health
ihr360-group-api-provider|192.168.1.179:43702/actuator/health
ihr360-group-executor|192.168.1.179:43703/actuator/health
ihr360-i18n-executor|192.168.1.179:40517/actuator/health
ihr360-iclock-executor|192.168.1.179:8101/actuator/health
ihr360-insurance-admin-provider|192.168.1.179:40562/actuator/health
ihr360-insurance-executor|192.168.1.179:40560/actuator/health
ihr360-insurance-middle-api|192.168.1.179:40552/actuator/health
ihr360-insurance-provider|192.168.1.179:40502/actuator/health
ihr360-manage-aggregate-provider|192.168.1.179:42302/actuator/health
ihr360-manage-executor|192.168.1.179:42304/actuator/health
ihr360-manage-provider|192.168.1.179:42301/actuator/health
ihr360-meta-daemon|192.168.1.179:44302/actuator/health
ihr360-meta-provider|192.168.1.179:44301/actuator/health
ihr360-oauth2-management|192.168.1.179:40521/actuator/health
ihr360-organization-daemon|192.168.1.179:41536/actuator/health
ihr360-organization-executor|192.168.1.179:17095/actuator/health
ihr360-organization-middle-api|192.168.1.179:17903/actuator/health
ihr360-pay|192.168.1.179:8086/actuator/health
ihr360-pay-executor|192.168.1.179:41537/actuator/health
ihr360-payroll-admin-provider|192.168.1.179:41524/actuator/health
ihr360-payroll-executor|192.168.1.179:40509/actuator/health
ihr360-payroll-middle-api|192.168.1.179:40551/actuator/health
ihr360-payroll-provider|192.168.1.179:40503/actuator/health
ihr360-push-api|192.168.1.179:45502/actuator/health
ihr360-recruit-provider|192.168.1.179:41540/actuator/health
ihr360-roster-plugin-provider|192.168.1.179:41910/actuator/health
ihr360-sentry-executor|192.168.1.179:45201/actuator/health
ihr360-session-cleanup-manager|192.168.1.179:45501/actuator/health
ihr360-shared-service-provider|192.168.1.179:40507/actuator/health
ihr360-shorturl-admin-provider|192.168.1.179:41541/actuator/health
ihr360-shorturl-provider|192.168.1.179:41542/actuator/health
ihr360-snapshot-executor|192.168.1.179:43103/actuator/health
ihr360-snapshot-provider|192.168.1.179:43101/actuator/health
ihr360-staff-aggregate-provider|192.168.1.179:41902/actuator/health
ihr360-staff-daemon|192.168.1.179:41908/actuator/health
ihr360-staff-executor|192.168.1.179:41531/actuator/health
ihr360-staff-middle-api|192.168.1.179:41913/actuator/health
ihr360-thirdparty-api-provider|192.168.1.179:47001/actuator/health
ihr360-wechat-executor|192.168.1.179:43904/actuator/health
ihr360-word-provider|192.168.1.179:41521/actuator/health
ihr360-workbench-aggregate-provider|192.168.1.179:40508/actuator/health
ihr360-workbench-executor|192.168.1.179:40510/actuator/health
ihr360-workflow-admin-provider|192.168.1.179:45001/actuator/health
ihr360-workflow-aggregate-provider|192.168.1.179:44801/actuator/health
ihr360-workflow-daemon|192.168.1.179:44808/actuator/health
ihr360-workflow-executor|192.168.1.179:44805/actuator/health
ihr360-workflow-middle-api|192.168.1.179:44807/actuator/health
irenshi-attendance-aggregate-provider|192.168.1.179:41502/actuator/health
irenshi-attendance-daemon|192.168.1.179:41503/actuator/health
irenshi-attendance-dubbo-provider|192.168.1.179:41501/actuator/health
irenshi-attendance-executor|192.168.1.179:41404/actuator/health
irenshi-dubbo-api-provider|192.168.1.179:41101/actuator/health
irenshi-dubbo-provider|192.168.1.179:40901/actuator/health
irenshi-organization-aggregate-provider|192.168.1.179:17090/actuator/health
irenshi-organization-dubbo-provider|192.168.1.179:7091/actuator/health
irenshi-organization-openapi|192.168.1.179:17091/actuator/health
irenshi-staff-api-provider|192.168.1.179:41901/actuator/health
irenshi-staff-executor|192.168.1.179:41903/actuator/health
irenshi-staff-openapi|192.168.1.179:41907/actuator/health
irenshi-app-api|192.168.1.179:8082/api/heartbeat/alive
irenshi-app-api-backward|192.168.1.179:8094/api/heartbeat/alive
ihr360-induction-static|192.168.1.179:18083/api/induction/version.json
ihr360-benefit-static|192.168.1.179:18105/benefit/zh_CN/version.json
ihr360-oauth2-gateway|192.168.1.179:6666/gateway/actuator/health
ihr360-group-static|192.168.1.179:43706/group/zh_CN/version.json
ihr360-workbench-noauth-static|192.168.1.179:18088/guide/zh_CN/version.json
ihr360-dingtalk-daemon|192.168.1.179:42505/health
ihr360-dingtalk-provider|192.168.1.179:42501/health
ihr360-file-provider|192.168.1.179:42902/health
ihr360-i18n-provider|192.168.1.179:48090/health
ihr360-kpi-daemon|192.168.1.179:42705/health
ihr360-kpi-executor|192.168.1.179:42703/health
ihr360-kpi-provider|192.168.1.179:42701/health
ihr360-message-center-admin-migrate|192.168.1.179:44509/health
ihr360-message-center-admin-provider|192.168.1.179:44508/health
ihr360-message-center-daemon|192.168.1.179:44503/health
ihr360-message-center-email-provider|192.168.1.179:44507/health
ihr360-message-center-executor|192.168.1.179:44502/health
ihr360-message-center-provider|192.168.1.179:44501/health
ihr360-mongo-server|192.168.1.179:42901/health
ihr360-one-click-provider|192.168.1.179:40501/health
ihr360-operation-logs-aggregate-provider|192.168.1.179:43504/health
ihr360-operation-logs-daemon|192.168.1.179:43502/health
ihr360-operation-logs-executor|192.168.1.179:43505/health
ihr360-operation-logs-provider|192.168.1.179:43501/health
ihr360-report-provider|192.168.1.179:28090/health
ihr360-report-scheduler|192.168.1.179:58090/health
ihr360-wechat-daemon|192.168.1.179:43902/health
ihr360-wechat-provider|192.168.1.179:43901/health
irenshi-executor|192.168.1.179:40902/health
irenshi-performance-aggregate-provider|192.168.1.179:40301/health
irenshi-performance-api-provider|192.168.1.179:40302/health
ihr360-iclock-api-provider|192.168.1.179:8100/heartbeat
irenshi-attendance-sign-provider|192.168.1.179:41509/heartbeat
ihr360-h5-static|192.168.1.179:18085/ihr-h5/zh_CN/version.json
ihr360-kpi-h5-static|192.168.1.179:18091/kpi-h5/zh_CN/version.json
ihr360-kpi-web-static|192.168.1.179:18101/kpi/zh_CN/version.json
ihr360-login-static|192.168.1.179:18096/login/zh_CN/index.html
ihr360-manage-static|192.168.1.179:18098/manage/version.json
ihr360-message-center-h5-static|192.168.1.179:18107/message-center-h5/zh_CN/version.json
ihr360-message-center-static|192.168.1.179:18106/message-center/zh_CN/version.json
ihr360-oneclick-manage-static|192.168.1.179:18094/oneclick/index.html
ihr360-oauth2-provider|192.168.1.179:40701/openapi/health
ihr360-payroll-h5-static|192.168.1.179:18103/payroll-h5/zh_CN/version.json
ihr360-canal-deployer|192.168.1.179:11112/prometheus
ihr360-report-static|192.168.1.179:18099/report/zh_CN/index.html
ihr360-roster-static|192.168.1.179:18082/roster/zh_CN/version.json
ihr360-payroll-static|192.168.1.179:18086/salary/zh_CN/version.json
ihr360-single-spa-static|192.168.1.179:18104/single/zh_CN/version.json
ihr360-web-staff|192.168.1.179:8087/staff/actuator/health
irenshi-web-staff-static|192.168.1.179:18087/staff/assets/view/workbench/index.html
ihr360-staff-static|192.168.1.179:41909/staff/zh_CN/version.json
ihr360-time-management-h5-static|192.168.1.179:18089/timemanagement-h5/zh_CN/version.json
ihr360-time-management-static|192.168.1.179:18084/timemanagement/zh_CN/version.json
ihr360-presto-server|192.168.1.179:40550/v1/info
ihr360-group-v2-static|192.168.1.179:18109/version.json
ihr360-third-h5-static|192.168.1.179:18081/version.json
irenshi-web|192.168.1.179:8081/web/actuator/health
ihr360-payroll-web-static|192.168.1.179:18102/web/assets/version.json
irenshi-web-static|192.168.1.179:8097/web/assets/view/work-bench/index.html
irenshi-weixin|192.168.1.179:8093/weixin/index.html
irenshi-weixin-static|192.168.1.179:18093/weixin/static/index.html
ihr360-workflow-h5-static|192.168.1.179:44804/workflow-h5/zh_CN/version.json
ihr360-workflow-static|192.168.1.179:44802/workflow/zh_CN/version.json
ihr360-workplatform-static|192.168.1.179:18095/workplatform/zh_CN/version.json
ihr360-cost-static|192.168.1.179:18092/zh_CN/version.json
